"No.","Time","Source","Destination","Protocol","Length","Info"
"1","13:58:12.092685","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23f7, seq=3/768, ttl=64 (reply in 3)"
"6","13:58:12.092685","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23f8, seq=1/256, ttl=64 (reply in 8)"
"25","13:58:12.750092","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23f9, seq=1/256, ttl=64 (reply in 27)"
"41","13:58:13.747530","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23fa, seq=1/256, ttl=64 (reply in 43)"
"52","13:58:14.737802","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23fb, seq=1/256, ttl=64 (reply in 54)"
"62","13:58:15.741385","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23fc, seq=1/256, ttl=64 (reply in 64)"
"69","13:58:16.756741","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23fd, seq=1/256, ttl=64 (no response found!)"
"86","13:58:18.741900","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ff, seq=1/256, ttl=64 (reply in 88)"
"118","13:58:20.739335","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2401, seq=1/256, ttl=64 (reply in 120)"
"129","13:58:21.743942","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2402, seq=1/256, ttl=64 (reply in 131)"
"137","13:58:22.739845","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2403, seq=1/256, ttl=64 (reply in 139)"
"149","13:58:23.738309","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2404, seq=1/256, ttl=64 (reply in 151)"
"157","13:58:24.739847","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2405, seq=1/256, ttl=64 (reply in 159)"
"168","13:58:25.755208","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2406, seq=1/256, ttl=64 (reply in 170)"
"181","13:58:26.753674","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2407, seq=1/256, ttl=64 (reply in 183)"
"190","13:58:27.755208","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2408, seq=1/256, ttl=64 (reply in 192)"
"984","13:58:28.748041","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"991","13:58:28.753161","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1009","13:58:28.782856","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1010","13:58:28.789513","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1011","13:58:28.791561","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1012","13:58:28.800776","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1015","13:58:28.833031","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1016","13:58:28.834567","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1017","13:58:28.842246","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1022","13:58:28.866309","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1023","13:58:28.868870","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1024","13:58:28.878085","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1025","13:58:28.880645","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1030","13:58:28.902148","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1031","13:58:28.907267","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1034","13:58:28.933893","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=1/256, ttl=64 (no response found!)"
"1047","13:58:29.756742","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x2409, seq=2/512, ttl=64 (no response found!)"
"1048","13:58:29.830472","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x240a, seq=1/256, ttl=64 (no response found!)"
