"No.","Time","Source","Destination","Protocol","Length","Info"
"12","13:56:59.068107","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23b9, seq=3/768, ttl=64 (reply in 14)"
"16","13:56:59.141321","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ba, seq=1/256, ttl=64 (reply in 18)"
"28","13:57:00.156171","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23bb, seq=1/256, ttl=64 (reply in 30)"
"37","13:57:01.150026","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23bc, seq=1/256, ttl=64 (reply in 39)"
"52","13:57:02.151051","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23bd, seq=1/256, ttl=64 (reply in 54)"
"82","13:57:03.175116","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23be, seq=1/256, ttl=64 (reply in 84)"
"89","13:57:04.158222","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23bf, seq=1/256, ttl=64 (reply in 91)"
"114","13:57:05.152077","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23c0, seq=1/256, ttl=64 (reply in 116)"
"121","13:57:06.153098","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23c1, seq=1/256, ttl=64 (reply in 123)"
"142","13:57:07.174091","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23c2, seq=1/256, ttl=64 (reply in 144)"
"330","13:57:08.173578","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23c3, seq=1/256, ttl=64 (reply in 332)"
"352","13:57:09.155660","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23c4, seq=1/256, ttl=64 (reply in 354)"
"365","13:57:10.150029","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23c5, seq=1/256, ttl=64 (reply in 367)"
"402","13:57:11.152586","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23c6, seq=1/256, ttl=64 (no response found!)"
"427","13:57:13.174606","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23c8, seq=1/256, ttl=64 (reply in 429)"
"445","13:57:15.163852","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"450","13:57:15.167949","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"456","13:57:15.171021","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"469","13:57:15.176653","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"575","13:57:15.240653","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"576","13:57:15.242702","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"577","13:57:15.249870","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"581","13:57:15.297997","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"582","13:57:15.297997","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"583","13:57:15.303629","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"584","13:57:15.309773","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"589","13:57:15.335885","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"590","13:57:15.348173","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
"591","13:57:15.356364","192.168.0.100","192.168.0.1","ICMP","138","Echo (ping) request  id=0x23ca, seq=1/256, ttl=64 (no response found!)"
