"No.","Time","Source","Destination","Protocol","Length","Info"
"3","14:45:22.232997","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c28, seq=1/256, ttl=64 (reply in 5)"
"13","14:45:23.045093","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c29, seq=1/256, ttl=64 (reply in 15)"
"26","14:45:25.044582","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2b, seq=1/256, ttl=64 (reply in 28)"
"970","14:45:26.037926","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"971","14:45:26.037925","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"972","14:45:26.037926","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"973","14:45:26.041510","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"978","14:45:26.060454","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"979","14:45:26.069158","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"980","14:45:26.075301","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"981","14:45:26.078886","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"983","14:45:26.112166","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"984","14:45:26.123429","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"985","14:45:26.126502","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"990","14:45:26.149029","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"991","14:45:26.169508","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"995","14:45:26.199717","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"996","14:45:26.206373","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"1001","14:45:26.228901","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"1002","14:45:26.230950","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"1003","14:45:26.234534","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"1004","14:45:26.250406","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2c, seq=1/256, ttl=64 (no response found!)"
"1041","14:45:28.131622","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c2e, seq=1/256, ttl=64 (reply in 1043)"
"1061","14:45:30.140326","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c30, seq=1/256, ttl=64 (reply in 1063)"
"1074","14:45:31.140326","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c31, seq=1/256, ttl=64 (reply in 1076)"
"1081","14:45:31.249894","192.168.0.1","192.168.0.100","ICMP","155","Destination unreachable (Port unreachable)"
"1085","14:45:31.252966","192.168.0.1","192.168.0.100","ICMP","155","Destination unreachable (Port unreachable)"
"1088","14:45:31.255014","192.168.0.1","192.168.0.100","ICMP","155","Destination unreachable (Port unreachable)"
"1110","14:45:33.139814","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c33, seq=1/256, ttl=64 (reply in 1112)"
"1131","14:45:34.126503","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c34, seq=1/256, ttl=64 (reply in 1133)"
"1169","14:45:36.141350","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c36, seq=1/256, ttl=64 (reply in 1171)"
"1179","14:45:37.140838","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c37, seq=1/256, ttl=64 (no response found!)"
"1193","14:45:38.156198","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c37, seq=2/512, ttl=64 (no response found!)"
"1231","14:45:40.149542","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c37, seq=4/1024, ttl=64 (no response found!)"
"1248","14:45:41.151589","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c37, seq=5/1280, ttl=64 (no response found!)"
"1251","14:45:41.152614","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c37, seq=5/1280, ttl=64 (no response found!)"
"1273","14:45:43.206886","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c39, seq=1/256, ttl=64 (reply in 1275)"
"2058","14:45:44.197158","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c3a, seq=1/256, ttl=64 (no response found!)"
"2065","14:45:44.201766","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c3a, seq=1/256, ttl=64 (no response found!)"
"2073","14:45:44.204326","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c3a, seq=1/256, ttl=64 (no response found!)"
"2122","14:45:44.250406","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c3a, seq=1/256, ttl=64 (no response found!)"
"2123","14:45:44.257574","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c3a, seq=1/256, ttl=64 (no response found!)"
"2124","14:45:44.260133","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c3a, seq=1/256, ttl=64 (no response found!)"
"2125","14:45:44.268326","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c3a, seq=1/256, ttl=64 (no response found!)"
"2129","14:45:44.293925","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c3a, seq=1/256, ttl=64 (no response found!)"
"2130","14:45:44.296486","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x2c3a, seq=1/256, ttl=64 (no response found!)"
