"No.","Time","Source","Destination","Protocol","Length","Info"
"6","15:49:35.156169","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x38f6, seq=3/768, ttl=64 (reply in 8)"
"8","15:49:35.156168","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x38f6, seq=3/768, ttl=64 (request in 6)"
"15","15:49:35.230919","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x38f7, seq=1/256, ttl=64 (reply in 17)"
"17","15:49:35.230920","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x38f7, seq=1/256, ttl=64 (request in 15)"
"25","15:49:36.253959","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x38f8, seq=1/256, ttl=64 (reply in 27)"
"27","15:49:36.253962","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x38f8, seq=1/256, ttl=64 (request in 25)"
"90","15:49:38.252425","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x38fa, seq=1/256, ttl=64 (reply in 92)"
"92","15:49:38.252424","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x38fa, seq=1/256, ttl=64 (request in 90)"
"108","15:49:39.236550","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x38fb, seq=1/256, ttl=64 (reply in 110)"
"110","15:49:39.236552","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x38fb, seq=1/256, ttl=64 (request in 108)"
"117","15:49:40.235529","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x38fc, seq=1/256, ttl=64"
"145","15:49:43.233479","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x38ff, seq=1/256, ttl=64 (reply in 147)"
"147","15:49:43.233484","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x38ff, seq=1/256, ttl=64 (request in 145)"
"178","15:49:45.239113","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3901, seq=1/256, ttl=64 (reply in 180)"
"180","15:49:45.239113","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3901, seq=1/256, ttl=64 (request in 178)"
"225","15:49:47.256520","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3903, seq=1/256, ttl=64 (reply in 227)"
"227","15:49:47.258568","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3903, seq=1/256, ttl=64 (request in 225)"
"233","15:49:48.254470","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3904, seq=1/256, ttl=64 (reply in 235)"
"235","15:49:48.254472","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3904, seq=1/256, ttl=64 (request in 233)"
"264","15:49:49.245768","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3905, seq=1/256, ttl=64 (no response found!)"
"268","15:49:50.245257","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3905, seq=2/512, ttl=64 (reply in 270)"
"270","15:49:50.245260","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3905, seq=2/512, ttl=64 (request in 268)"
"273","15:49:50.316428","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3906, seq=1/256, ttl=64"
"284","15:49:51.328201","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"297","15:49:51.338442","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"395","15:49:51.401930","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"396","15:49:51.406026","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"397","15:49:51.415242","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"402","15:49:51.440329","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"403","15:49:51.446473","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"406","15:49:51.485385","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"407","15:49:51.487946","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"410","15:49:51.521737","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"411","15:49:51.530441","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"412","15:49:51.538121","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"413","15:49:51.548361","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"417","15:49:51.570378","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"418","15:49:51.576009","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"419","15:49:51.579593","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"420","15:49:51.583689","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"423","15:49:51.596489","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"424","15:49:51.600073","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"425","15:49:51.604169","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"426","15:49:51.608265","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"429","15:49:51.626185","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"430","15:49:51.626185","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"431","15:49:51.631817","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"432","15:49:51.635914","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=1/256, ttl=64 (no response found!)"
"442","15:49:52.348682","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=2/512, ttl=64 (no response found!)"
"446","15:49:52.377865","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=2/512, ttl=64 (no response found!)"
"447","15:49:52.385545","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=2/512, ttl=64 (no response found!)"
"448","15:49:52.389642","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=2/512, ttl=64 (no response found!)"
"449","15:49:52.399370","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=2/512, ttl=64 (no response found!)"
"452","15:49:52.423948","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=2/512, ttl=64 (no response found!)"
"453","15:49:52.430091","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=2/512, ttl=64 (no response found!)"
"454","15:49:52.432650","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=2/512, ttl=64 (no response found!)"
"455","15:49:52.442379","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=2/512, ttl=64 (no response found!)"
"476","15:49:53.326154","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3907, seq=3/768, ttl=64 (reply in 478)"
"478","15:49:53.326151","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3907, seq=3/768, ttl=64 (request in 476)"
"480","15:49:53.399882","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3908, seq=1/256, ttl=64 (reply in 482)"
