"No.","Time","Source","Destination","Protocol","Length","Info"
"50","15:46:35.755732","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x385d, seq=1/256, ttl=64 (reply in 52)"
"52","15:46:35.755726","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x385d, seq=1/256, ttl=64 (request in 50)"
"74","15:46:36.755221","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x385e, seq=1/256, ttl=64 (no response found!)"
"98","15:46:37.753677","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x385f, seq=1/256, ttl=64"
"113","15:46:38.738833","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3860, seq=1/256, ttl=64 (reply in 115)"
"115","15:46:38.742414","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3860, seq=1/256, ttl=64 (request in 113)"
"137","15:46:39.756244","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3861, seq=1/256, ttl=64 (reply in 139)"
"139","15:46:39.756236","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3861, seq=1/256, ttl=64 (request in 137)"
"147","15:46:40.742930","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3862, seq=1/256, ttl=64 (reply in 149)"
"149","15:46:40.742925","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3862, seq=1/256, ttl=64 (request in 147)"
"155","15:46:41.741905","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3863, seq=1/256, ttl=64 (reply in 157)"
"157","15:46:41.741900","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3863, seq=1/256, ttl=64 (request in 155)"
"162","15:46:42.742415","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3864, seq=1/256, ttl=64 (no response found!)"
"176","15:46:44.741388","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3866, seq=1/256, ttl=64"
"180","15:46:45.741392","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3867, seq=1/256, ttl=64 (reply in 182)"
"182","15:46:45.741387","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3867, seq=1/256, ttl=64 (request in 180)"
"190","15:46:46.758800","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3868, seq=1/256, ttl=64 (no response found!)"
"198","15:46:47.743947","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3869, seq=1/256, ttl=64"
"218","15:46:48.752146","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386a, seq=1/256, ttl=64 (no response found!)"
"233","15:46:49.756242","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386b, seq=1/256, ttl=64 (reply in 235)"
"235","15:46:49.756234","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x386b, seq=1/256, ttl=64 (request in 233)"
"1147","15:46:50.752144","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1153","15:46:50.754703","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1171","15:46:50.767504","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1228","15:46:50.828433","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1229","15:46:50.837647","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1230","15:46:50.837647","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1235","15:46:50.856079","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1236","15:46:50.864784","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1237","15:46:50.873999","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1240","15:46:50.907793","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1241","15:46:50.917007","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1243","15:46:50.947728","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386c, seq=1/256, ttl=64 (no response found!)"
"1250","15:46:51.835089","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386d, seq=1/256, ttl=64 (no response found!)"
"1263","15:46:52.840714","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x386e, seq=1/256, ttl=64"
"1269","15:46:53.834579","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x386f, seq=1/256, ttl=64 (reply in 1271)"
"1271","15:46:53.834570","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x386f, seq=1/256, ttl=64 (request in 1269)"
"1277","15:46:54.834574","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3870, seq=1/256, ttl=64"
"1291","15:46:55.852499","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3871, seq=1/256, ttl=64 (reply in 1293)"
"1293","15:46:55.852496","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3871, seq=1/256, ttl=64 (request in 1291)"
"1310","15:46:57.853014","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3873, seq=1/256, ttl=64 (reply in 1312)"
"1312","15:46:57.853005","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3873, seq=1/256, ttl=64 (request in 1310)"
"1378","15:46:58.869395","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3874, seq=1/256, ttl=64 (no response found!)"
"1406","15:46:59.852500","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3875, seq=1/256, ttl=64 (reply in 1408)"
"1408","15:46:59.852490","192.168.0.1","192.168.0.100","ICMP","134","Echo (ping) reply    id=0x3875, seq=1/256, ttl=64 (request in 1406)"
"1555","15:47:00.838163","192.168.0.100","192.168.0.1","ICMP","134","Echo (ping) request  id=0x3876, seq=1/256, ttl=64 (no response found!)"
